0.0000000	1.0032788	0.1283409	0.0404876	0.0192444	0.0118701	0.0088753	0.0077453	0.0077453	0.0088753	0.0118701	0.0192444	0.0404876	0.1283409	1.0032788	
1.0032788	0.1957700	0.0574002	0.0248773	0.0141389	0.0098434	0.0080524	0.0075521	0.0080524	0.0098434	0.0141389	0.0248773	0.0574002	0.1957700	1.0032788	
0.1283409	0.0574002	0.0275733	0.0157600	0.0106781	0.0083878	0.0074799	0.0074799	0.0083878	0.0106781	0.0157600	0.0275733	0.0574002	0.1283409	0.1957700	
0.0404876	0.0248773	0.0157600	0.0110157	0.0086116	0.0074790	0.0071456	0.0074790	0.0086116	0.0110157	0.0157600	0.0248773	0.0404876	0.0574002	0.0574002	
0.0192444	0.0141389	0.0106781	0.0086116	0.0074878	0.0069977	0.0069977	0.0074878	0.0086116	0.0106781	0.0141389	0.0192444	0.0248773	0.0275733	0.0248773	
0.0118701	0.0098434	0.0083878	0.0074790	0.0069977	0.0068487	0.0069977	0.0074790	0.0083878	0.0098434	0.0118701	0.0141389	0.0157600	0.0157600	0.0141389	
0.0088753	0.0080524	0.0074799	0.0071456	0.0069977	0.0069977	0.0071456	0.0074799	0.0080524	0.0088753	0.0098434	0.0106781	0.0110157	0.0106781	0.0098434	
0.0077453	0.0075521	0.0074799	0.0074790	0.0074878	0.0074790	0.0074799	0.0075521	0.0077453	0.0080524	0.0083878	0.0086116	0.0086116	0.0083878	0.0080524	
0.0077453	0.0080524	0.0083878	0.0086116	0.0086116	0.0083878	0.0080524	0.0077453	0.0075521	0.0074799	0.0074790	0.0074878	0.0074790	0.0074799	0.0075521	
0.0088753	0.0098434	0.0106781	0.0110157	0.0106781	0.0098434	0.0088753	0.0080524	0.0074799	0.0071456	0.0069977	0.0069977	0.0071456	0.0074799	0.0080524	
0.0118701	0.0141389	0.0157600	0.0157600	0.0141389	0.0118701	0.0098434	0.0083878	0.0074790	0.0069977	0.0068487	0.0069977	0.0074790	0.0083878	0.0098434	
0.0192444	0.0248773	0.0275733	0.0248773	0.0192444	0.0141389	0.0106781	0.0086116	0.0074878	0.0069977	0.0069977	0.0074878	0.0086116	0.0106781	0.0141389	
0.0404876	0.0574002	0.0574002	0.0404876	0.0248773	0.0157600	0.0110157	0.0086116	0.0074790	0.0071456	0.0074790	0.0086116	0.0110157	0.0157600	0.0248773	
0.1283409	0.1957700	0.1283409	0.0574002	0.0275733	0.0157600	0.0106781	0.0083878	0.0074799	0.0074799	0.0083878	0.0106781	0.0157600	0.0275733	0.0574002	
1.0032788	1.0032788	0.1957700	0.0574002	0.0248773	0.0141389	0.0098434	0.0080524	0.0075521	0.0080524	0.0098434	0.0141389	0.0248773	0.0574002	0.1957700	
