Local Calc, Lattice Calc, Clock Local Calc, Clock Lattice Calc, Dipolar Local Calc, Dipolar Lattice Calc
8.50425, 8.50425, 8, 8, 0.50425, 0.50425
8.708, 8.708, 8, 8, 0.708001, 0.708001
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
4.61598, 4.61598, 4.5, 4.5, 0.115976, 0.115976
7.5, 7.5, 7.5, 7.5, 0, 0
8.91516, 8.91516, 9, 9, -0.084842, -0.084842
3.32683, 3.32683, 4, 4, -0.67317, -0.67317
10.0097, 10.0097, 11, 11, -0.990272, -0.990272
9, 9, 9, 9, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
6, 6, 6, 6, 0, 0
6, 6, 6, 6, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.15527, 9.15527, 9, 9, 0.155271, 0.155271
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
0.238835, 0.238835, -0, 0, 0.238835, 0.238835
1.53246, 1.53246, 1.5, 1.5, 0.0324635, 0.0324635
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
3.42516, 3.42516, 4, 4, -0.574839, -0.574839
4.65039, 4.65039, 4.5, 4.5, 0.15039, 0.15039
2.15476, 2.15476, 2.5, 2.5, -0.34524, -0.34524
4.5, 4.5, 4.5, 4.5, 0, 0
9.13059, 9.13059, 9, 9, 0.130593, 0.130593
2.5339, 2.5339, 2, 2, 0.533903, 0.533903
3.15958, 3.15958, 3, 3, 0.159583, 0.159583
0, 0, -0, 0, 0, 0
1.35009, 1.35009, 3, 3, -1.64991, -1.64991
0.373883, 0.373883, 1, 1, -0.626117, -0.626117
9, 9, 9, 9, 0, 0
0.693853, 0.693853, 1, 1, -0.306147, -0.306147
4.45015, 4.45015, 4.5, 4.5, -0.0498478, -0.0498478
9, 9, 9, 9, 0, 0
2.68633, 2.68633, 3.5, 3.5, -0.813673, -0.813673
3.59611, 3.59611, 4, 4, -0.40389, -0.40389
1.71213, 1.71213, 1.5, 1.5, 0.212135, 0.212135
9.34016, 9.34016, 10, 10, -0.659839, -0.659839
0.40756, 0.40756, 1, 1, -0.59244, -0.59244
6, 6, 6, 6, 0, 0
9.63229, 9.63229, 10, 10, -0.367706, -0.367706
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.119129, 0.119129, -1.11022e-16, 0, 0.119129, 0.119129
6, 6, 6, 6, 0, 0
8.71902, 8.71902, 8, 8, 0.719017, 0.719017
1.93939, 1.93939, 2.5, 2.5, -0.560611, -0.560611
0.169992, 0.169992, -0, 0, 0.169992, 0.169992
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
1.52498, 1.52498, 3, 3, -1.47502, -1.47502
0.416259, 0.416259, 1, 1, -0.583741, -0.583741
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
8.57591, 8.57591, 8, 8, 0.575907, 0.575907
0, 0, -0, 0, 0, 0
3.51318, 3.51318, 4, 4, -0.48682, -0.48682
9.59037, 9.59037, 10, 10, -0.409634, -0.409634
0.585132, 0.585132, 1, 1, -0.414868, -0.414868
0.521737, 0.521737, 1, 1, -0.478263, -0.478263
3.43276, 3.43276, 4, 4, -0.567241, -0.567241
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
1.10559, 1.10559, 2, 2, -0.894405, -0.894405
3.06951, 3.06951, 3, 3, 0.0695149, 0.0695149
3.53464, 3.53464, 4, 4, -0.465364, -0.465364
2.67113, 2.67113, 2, 2, 0.671135, 0.671135
4.5, 4.5, 4.5, 4.5, 0, 0
2.71124, 2.71124, 2, 2, 0.711244, 0.711244
6, 6, 6, 6, 0, 0
10.1238, 10.1238, 11, 11, -0.876215, -0.876215
0.639254, 0.639254, 1, 1, -0.360746, -0.360746
9.46947, 9.46947, 10, 10, -0.530526, -0.530526
9.44621, 9.44621, 10, 10, -0.553786, -0.553786
0, 0, -0, 0, 0, 0
3, 3, 3, 3, 0, 0
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
0.590647, 0.590647, 1, 1, -0.409353, -0.409353
0, 0, -0, 0, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
9.90242, 9.90242, 11, 11, -1.09758, -1.09758
7.5, 7.5, 7.5, 7.5, 0, 0
3.49342, 3.49342, 2.5, 2.5, 0.993421, 0.993421
5.39222, 5.39222, 5, 5, 0.39222, 0.39222
4.58111, 4.58111, 4.5, 4.5, 0.0811088, 0.0811088
0, 0, -0, 0, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
6, 6, 6, 6, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
9.33719, 9.33719, 10, 10, -0.662813, -0.662813
6, 6, 6, 6, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
3.28615, 3.28615, 3, 3, 0.286148, 0.286148
0, 0, -0, 0, 0, 0
0.115976, 0.115976, -1.11022e-16, 0, 0.115976, 0.115976
6, 6, 6, 6, 0, 0
8.91516, 8.91516, 9, 9, -0.084842, -0.084842
3.32683, 3.32683, 4, 4, -0.67317, -0.67317
2.50973, 2.50973, 3.5, 3.5, -0.990272, -0.990272
9.02981, 9.02981, 9, 9, 0.0298057, 0.0298057
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
9.38165, 9.38165, 10, 10, -0.618351, -0.618351
9.5693, 9.5693, 10, 10, -0.430699, -0.430699
9.15527, 9.15527, 9, 9, 0.155271, 0.155271
6, 6, 6, 6, 0, 0
1.06438, 1.06438, 2, 2, -0.93562, -0.93562
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
-0.104429, -0.104429, -0, 0, -0.104429, -0.104429
2.45758, 2.45758, 3.5, 3.5, -1.04242, -1.04242
10.4251, 10.4251, 12, 12, -1.57487, -1.57487
6, 6, 6, 6, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
2.14036, 2.14036, 2.5, 2.5, -0.359638, -0.359638
9, 9, 9, 9, 0, 0
9.15839, 9.15839, 9, 9, 0.158388, 0.158388
2.6481, 2.6481, 2, 2, 0.648101, 0.648101
3.59334, 3.59334, 4, 4, -0.406662, -0.406662
2.91848, 2.91848, 3, 3, -0.0815244, -0.0815244
9, 9, 9, 9, 0, 0
9.41094, 9.41094, 10, 10, -0.589062, -0.589062
9, 9, 9, 9, 0, 0
0.679236, 0.679236, 1, 1, -0.320764, -0.320764
9, 9, 9, 9, 0, 0
2.55336, 2.55336, 3.5, 3.5, -0.946636, -0.946636
7.5, 7.5, 7.5, 7.5, 0, 0
3, 3, 3, 3, 0, 0
3, 3, 3, 3, 0, 0
6, 6, 6, 6, 0, 0
0.444615, 0.444615, 1, 1, -0.555385, -0.555385
3.69831, 3.69831, 4, 4, -0.301693, -0.301693
0.617314, 0.617314, 1, 1, -0.382686, -0.382686
0, 0, -0, 0, 0, 0
1.50664, 1.50664, 3, 3, -1.49336, -1.49336
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.15052, 9.15052, 9, 9, 0.150523, 0.150523
1.15922, 1.15922, 2, 2, -0.840777, -0.840777
9.06204, 9.06204, 9, 9, 0.0620427, 0.0620427
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
3.68606, 3.68606, 4, 4, -0.313936, -0.313936
6, 6, 6, 6, 0, 0
2.55509, 2.55509, 2, 2, 0.555087, 0.555087
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
-0.105451, -0.105451, -0, 0, -0.105451, -0.105451
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
8.99031, 8.99031, 9, 9, -0.00968681, -0.00968681
8.80238, 8.80238, 8, 8, 0.802383, 0.802383
0, 0, -0, 0, 0, 0
9.70354, 9.70354, 10, 10, -0.296464, -0.296464
0.768068, 0.768068, 1, 1, -0.231932, -0.231932
0.415645, 0.415645, 1, 1, -0.584355, -0.584355
0, 0, -0, 0, 0, 0
3.11678, 3.11678, 3, 3, 0.116784, 0.116784
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
3.58534, 3.58534, 4, 4, -0.414657, -0.414657
4.77965, 4.77965, 4.5, 4.5, 0.279648, 0.279648
3.32216, 3.32216, 4, 4, -0.677835, -0.677835
0.853807, 0.853807, 2, 2, -1.14619, -1.14619
0, 0, -0, 0, 0, 0
1.94286, 1.94286, 1, 1, 0.942861, 0.942861
-0.565005, -0.565005, -1, -1, 0.434995, 0.434995
0.474575, 0.474575, 1, 1, -0.525425, -0.525425
2.00397, 2.00397, 2.5, 2.5, -0.496028, -0.496028
4.5, 4.5, 4.5, 4.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.87385, 9.87385, 11, 11, -1.12615, -1.12615
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
2.74584, 2.74584, 2, 2, 0.745837, 0.745837
4.55204, 4.55204, 4.5, 4.5, 0.0520417, 0.0520417
3.66787, 3.66787, 4, 4, -0.332132, -0.332132
4.56251, 4.56251, 4.5, 4.5, 0.0625096, 0.0625096
4.69581, 4.69581, 4.5, 4.5, 0.195806, 0.195806
1.75056, 1.75056, 1.5, 1.5, 0.250563, 0.250563
8.84851, 8.84851, 9, 9, -0.151494, -0.151494
6, 6, 6, 6, 0, 0
2.36009, 2.36009, 3.5, 3.5, -1.13991, -1.13991
0.413, 0.413, 1, 1, -0.587, -0.587
0, 0, -0, 0, 0, 0
9.51274, 9.51274, 10, 10, -0.487258, -0.487258
0.509843, 0.509843, 1, 1, -0.490157, -0.490157
2.1426, 2.1426, 2.5, 2.5, -0.357401, -0.357401
4.71018, 4.71018, 4.5, 4.5, 0.210176, 0.210176
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
3.43213, 3.43213, 4, 4, -0.567867, -0.567867
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.0995302, 0.0995302, -1.11022e-16, 0, 0.0995302, 0.0995302
0, 0, -0, 0, 0, 0
0.027797, 0.027797, 1.11022e-16, 0, 0.027797, 0.027797
9.61995, 9.61995, 10, 10, -0.380047, -0.380047
8.64244, 8.64244, 8, 8, 0.642437, 0.642437
3.57656, 3.57656, 4, 4, -0.423436, -0.423436
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
9.72902, 9.72902, 10, 10, -0.270981, -0.270981
6, 6, 6, 6, 0, 0
0.425222, 0.425222, 1, 1, -0.574778, -0.574778
1.51382, 1.51382, 3, 3, -1.48618, -1.48618
1.13731, 1.13731, 2, 2, -0.862693, -0.862693
3, 3, 3, 3, 0, 0
3, 3, 3, 3, 0, 0
9, 9, 9, 9, 0, 0
0.47241, 0.47241, 1, 1, -0.52759, -0.52759
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
9.46367, 9.46367, 10, 10, -0.536327, -0.536327
10.4206, 10.4206, 12, 12, -1.57939, -1.57939
0.391934, 0.391934, 1, 1, -0.608066, -0.608066
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
4.61494, 4.61494, 4.5, 4.5, 0.114943, 0.114943
7.5, 7.5, 7.5, 7.5, 0, 0
9.066, 9.066, 9, 9, 0.0660018, 0.0660018
10.5341, 10.5341, 12, 12, -1.46591, -1.46591
9, 9, 9, 9, 0, 0
0.673571, 0.673571, 1, 1, -0.326429, -0.326429
0.454872, 0.454872, 1, 1, -0.545128, -0.545128
7.5, 7.5, 7.5, 7.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
3.64384, 3.64384, 4, 4, -0.356161, -0.356161
0.538331, 0.538331, 1, 1, -0.461669, -0.461669
9, 9, 9, 9, 0, 0
3.55787, 3.55787, 4, 4, -0.442126, -0.442126
9.47712, 9.47712, 10, 10, -0.522884, -0.522884
0.721249, 0.721249, 1, 1, -0.278751, -0.278751
0.467292, 0.467292, 1, 1, -0.532708, -0.532708
8.83679, 8.83679, 8, 8, 0.836788, 0.836788
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.194314, 0.194314, -0, 0, 0.194314, 0.194314
9, 9, 9, 9, 0, 0
9.01532, 9.01532, 9, 9, 0.0153227, 0.0153227
0.625555, 0.625555, 1, 1, -0.374445, -0.374445
6, 6, 6, 6, 0, 0
-0.0715913, -0.0715913, 1.11022e-16, 0, -0.0715913, -0.0715913
7.5, 7.5, 7.5, 7.5, 0, 0
3.56408, 3.56408, 4, 4, -0.435922, -0.435922
9, 9, 9, 9, 0, 0
9.7486, 9.7486, 10, 10, -0.2514, -0.2514
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.180421, 0.180421, 1.11022e-16, 0, 0.180421, 0.180421
0.0431149, 0.0431149, -3.33067e-16, 0, 0.0431149, 0.0431149
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
3.52907, 3.52907, 4, 4, -0.470934, -0.470934
0, 0, -0, 0, 0, 0
9.25663, 9.25663, 9, 9, 0.256628, 0.256628
0.327222, 0.327222, 1, 1, -0.672778, -0.672778
9, 9, 9, 9, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
4.36062, 4.36062, 4.5, 4.5, -0.139382, -0.139382
1.08847, 1.08847, 2, 2, -0.911526, -0.911526
3.48956, 3.48956, 4, 4, -0.510445, -0.510445
7.5, 7.5, 7.5, 7.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.94858, 9.94858, 11, 11, -1.05142, -1.05142
9, 9, 9, 9, 0, 0
0.207375, 0.207375, 1, 1, -0.792625, -0.792625
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
0.151775, 0.151775, -1.11022e-16, 0, 0.151775, 0.151775
9.16955, 9.16955, 9, 9, 0.169552, 0.169552
8.96418, 8.96418, 9, 9, -0.0358219, -0.0358219
9.37043, 9.37043, 10, 10, -0.629569, -0.629569
2.39119, 2.39119, 3.5, 3.5, -1.10881, -1.10881
9.41929, 9.41929, 10, 10, -0.580709, -0.580709
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
3.49735, 3.49735, 4, 4, -0.50265, -0.50265
7.5, 7.5, 7.5, 7.5, 0, 0
9.09418, 9.09418, 9, 9, 0.0941842, 0.0941842
3.08789, 3.08789, 3, 3, 0.0878927, 0.0878927
6, 6, 6, 6, 0, 0
9.26785, 9.26785, 9, 9, 0.26785, 0.26785
0, 0, -0, 0, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
10.0014, 10.0014, 11, 11, -0.99858, -0.99858
9, 9, 9, 9, 0, 0
9.46915, 9.46915, 10, 10, -0.530852, -0.530852
9.17605, 9.17605, 9, 9, 0.176052, 0.176052
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
3.61848, 3.61848, 4, 4, -0.381522, -0.381522
6, 6, 6, 6, 0, 0
3.57872, 3.57872, 4, 4, -0.421279, -0.421279
1.44451, 1.44451, 1.5, 1.5, -0.0554904, -0.0554904
1.49143, 1.49143, 3, 3, -1.50857, -1.50857
3.42914, 3.42914, 4, 4, -0.570863, -0.570863
0.728126, 0.728126, 1, 1, -0.271874, -0.271874
9, 9, 9, 9, 0, 0
0.423427, 0.423427, 1, 1, -0.576573, -0.576573
0, 0, -0, 0, 0, 0
2.6311, 2.6311, 3.5, 3.5, -0.868896, -0.868896
3, 3, 3, 3, 0, 0
0.0672085, 0.0672085, 2.22045e-16, 0, 0.0672085, 0.0672085
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
3.37435, 3.37435, 4, 4, -0.625653, -0.625653
4.60532, 4.60532, 4.5, 4.5, 0.105324, 0.105324
8.10166, 8.10166, 7, 7, 1.10166, 1.10166
7.5, 7.5, 7.5, 7.5, 0, 0
2.04192, 2.04192, 2.5, 2.5, -0.458082, -0.458082
9, 9, 9, 9, 0, 0
1.13877, 1.13877, 2, 2, -0.861234, -0.861234
0.0729771, 0.0729771, -0, 0, 0.0729771, 0.0729771
9, 9, 9, 9, 0, 0
0.390517, 0.390517, 1, 1, -0.609483, -0.609483
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
3.00944, 3.00944, 3, 3, 0.00944285, 0.00944285
-0.0184221, -0.0184221, -0, 0, -0.0184221, -0.0184221
0, 0, -0, 0, 0, 0
9.45561, 9.45561, 10, 10, -0.544393, -0.544393
0, 0, -0, 0, 0, 0
3.61411, 3.61411, 4, 4, -0.385886, -0.385886
0, 0, -0, 0, 0, 0
9.1942, 9.1942, 9, 9, 0.194198, 0.194198
4.46869, 4.46869, 4.5, 4.5, -0.0313126, -0.0313126
2.81993, 2.81993, 2, 2, 0.819932, 0.819932
3.55238, 3.55238, 4, 4, -0.447616, -0.447616
3.76931, 3.76931, 4, 4, -0.230686, -0.230686
4.81358, 4.81358, 4.5, 4.5, 0.313582, 0.313582
9, 9, 9, 9, 0, 0
8.90945, 8.90945, 9, 9, -0.090548, -0.090548
0, 0, -0, 0, 0, 0
2.52591, 2.52591, 2, 2, 0.525909, 0.525909
0.205257, 0.205257, -1.11022e-16, 0, 0.205257, 0.205257
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
3.80646, 3.80646, 4, 4, -0.19354, -0.19354
9.8419, 9.8419, 10, 10, -0.158105, -0.158105
6, 6, 6, 6, 0, 0
6, 6, 6, 6, 0, 0
2.76165, 2.76165, 2, 2, 0.761646, 0.761646
-0.0566201, -0.0566201, 3.33067e-16, 0, -0.0566201, -0.0566201
9.13757, 9.13757, 9, 9, 0.137568, 0.137568
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
4.77907, 4.77907, 4.5, 4.5, 0.279066, 0.279066
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
1.32375, 1.32375, 0.5, 0.5, 0.823752, 0.823752
3.91367, 3.91367, 3.5, 3.5, 0.413671, 0.413671
0.641527, 0.641527, 1, 1, -0.358473, -0.358473
0, 0, -0, 0, 0, 0
2.08049, 2.08049, 2.5, 2.5, -0.419507, -0.419507
0, 0, -0, 0, 0, 0
1.71311, 1.71311, 1.5, 1.5, 0.213112, 0.213112
9.94409, 9.94409, 11, 11, -1.05591, -1.05591
10.3792, 10.3792, 12, 12, -1.62076, -1.62076
9.22981, 9.22981, 10, 10, -0.770187, -0.770187
2.72489, 2.72489, 2, 2, 0.724894, 0.724894
4.58015, 4.58015, 4.5, 4.5, 0.0801493, 0.0801493
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
4.45686, 4.45686, 4.5, 4.5, -0.0431366, -0.0431366
9.37079, 9.37079, 10, 10, -0.629206, -0.629206
9.89626, 9.89626, 11, 11, -1.10374, -1.10374
9, 9, 9, 9, 0, 0
9.1156, 9.1156, 9, 9, 0.115598, 0.115598
0.493636, 0.493636, 1, 1, -0.506364, -0.506364
6, 6, 6, 6, 0, 0
2.10047, 2.10047, 2.5, 2.5, -0.399527, -0.399527
4.59382, 4.59382, 4.5, 4.5, 0.0938215, 0.0938215
6, 6, 6, 6, 0, 0
0.576709, 0.576709, 1, 1, -0.423291, -0.423291
0, 0, -0, 0, 0, 0
3.45777, 3.45777, 4, 4, -0.54223, -0.54223
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
4.47078, 4.47078, 4.5, 4.5, -0.0292214, -0.0292214
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
3, 3, 3, 3, 0, 0
8.96658, 8.96658, 9, 9, -0.0334151, -0.0334151
1.5135, 1.5135, 3, 3, -1.4865, -1.4865
9.44232, 9.44232, 10, 10, -0.557685, -0.557685
0, 0, -0, 0, 0, 0
9.76495, 9.76495, 10, 10, -0.235052, -0.235052
3.42164, 3.42164, 4, 4, -0.57836, -0.57836
1.50754, 1.50754, 3, 3, -1.49246, -1.49246
10.1315, 10.1315, 11, 11, -0.868533, -0.868533
3, 3, 3, 3, 0, 0
3.00419, 3.00419, 3, 3, 0.00419212, 0.00419212
9.55443, 9.55443, 10, 10, -0.44557, -0.44557
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
0.459184, 0.459184, 1, 1, -0.540816, -0.540816
9, 9, 9, 9, 0, 0
9.36986, 9.36986, 10, 10, -0.630142, -0.630142
0.101279, 0.101279, -1.11022e-16, 0, 0.101279, 0.101279
3.70088, 3.70088, 2.5, 2.5, 1.20088, 1.20088
3.02203, 3.02203, 3, 3, 0.022027, 0.022027
1.59497, 1.59497, 1.5, 1.5, 0.094971, 0.094971
0.0142507, 0.0142507, -0, 0, 0.0142507, 0.0142507
7.5, 7.5, 7.5, 7.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
0.351304, 0.351304, 1, 1, -0.648696, -0.648696
0.782697, 0.782697, 1, 1, -0.217303, -0.217303
0, 0, -0, 0, 0, 0
6, 6, 6, 6, 0, 0
9.14612, 9.14612, 9, 9, 0.146125, 0.146125
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
9.65534, 9.65534, 10, 10, -0.344665, -0.344665
9, 9, 9, 9, 0, 0
9.35785, 9.35785, 10, 10, -0.642152, -0.642152
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.604056, 0.604056, 1, 1, -0.395944, -0.395944
3.67818, 3.67818, 4, 4, -0.321824, -0.321824
9, 9, 9, 9, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.0607, 9.0607, 9, 9, 0.0607044, 0.0607044
0.542831, 0.542831, 1, 1, -0.457169, -0.457169
3.60713, 3.60713, 2.5, 2.5, 1.10713, 1.10713
9.07755, 9.07755, 9, 9, 0.0775547, 0.0775547
7.5, 7.5, 7.5, 7.5, 0, 0
6, 6, 6, 6, 0, 0
9.76427, 9.76427, 10, 10, -0.235733, -0.235733
3.78807, 3.78807, 4, 4, -0.211934, -0.211934
6, 6, 6, 6, 0, 0
0.411283, 0.411283, 1, 1, -0.588717, -0.588717
3, 3, 3, 3, 0, 0
2.96512, 2.96512, 3, 3, -0.0348813, -0.0348813
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
3.45391, 3.45391, 4, 4, -0.546087, -0.546087
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
6, 6, 6, 6, 0, 0
3.62143, 3.62143, 4, 4, -0.378566, -0.378566
9.60862, 9.60862, 10, 10, -0.391384, -0.391384
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
10.4707, 10.4707, 12, 12, -1.52926, -1.52926
3.35863, 3.35863, 4, 4, -0.641372, -0.641372
2.63397, 2.63397, 2, 2, 0.633975, 0.633975
4.5, 4.5, 4.5, 4.5, 0, 0
6, 6, 6, 6, 0, 0
9.13573, 9.13573, 9, 9, 0.135727, 0.135727
0, 0, -0, 0, 0, 0
1.64466, 1.64466, 1.5, 1.5, 0.144664, 0.144664
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0.454699, 0.454699, 1, 1, -0.545301, -0.545301
0.448372, 0.448372, 1, 1, -0.551628, -0.551628
9.56781, 9.56781, 10, 10, -0.432188, -0.432188
9.06385, 9.06385, 9, 9, 0.0638545, 0.0638545
6, 6, 6, 6, 0, 0
9.60968, 9.60968, 10, 10, -0.390318, -0.390318
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
0.112294, 0.112294, -0, 0, 0.112294, 0.112294
7.5, 7.5, 7.5, 7.5, 0, 0
1.41284, 1.41284, 3, 3, -1.58716, -1.58716
0.418588, 0.418588, 1, 1, -0.581412, -0.581412
4.5, 4.5, 4.5, 4.5, 0, 0
3.21051, 3.21051, 3, 3, 0.210514, 0.210514
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
8.61248, 8.61248, 8, 8, 0.612477, 0.612477
3, 3, 3, 3, 0, 0
2.91491, 2.91491, 3, 3, -0.0850873, -0.0850873
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
6, 6, 6, 6, 0, 0
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
10.4782, 10.4782, 12, 12, -1.52184, -1.52184
2.60334, 2.60334, 3.5, 3.5, -0.896655, -0.896655
0.521616, 0.521616, 1, 1, -0.478384, -0.478384
1.55475, 1.55475, 1.5, 1.5, 0.0547523, 0.0547523
6, 6, 6, 6, 0, 0
2.45272, 2.45272, 3.5, 3.5, -1.04728, -1.04728
0, 0, -0, 0, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
0, 0, -0, 0, 0, 0
8.15989, 8.15989, 7, 7, 1.15989, 1.15989
0, 0, -0, 0, 0, 0
3.50926, 3.50926, 4, 4, -0.490743, -0.490743
9, 9, 9, 9, 0, 0
9.72448, 9.72448, 10, 10, -0.27552, -0.27552
8.95107, 8.95107, 9, 9, -0.0489261, -0.0489261
1.45607, 1.45607, 3, 3, -1.54393, -1.54393
3.33184, 3.33184, 4, 4, -0.668164, -0.668164
6, 6, 6, 6, 0, 0
9.52431, 9.52431, 10, 10, -0.475694, -0.475694
6, 6, 6, 6, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.11919, 9.11919, 9, 9, 0.119193, 0.119193
9.76953, 9.76953, 10, 10, -0.230468, -0.230468
0, 0, -0, 0, 0, 0
0.320793, 0.320793, 1, 1, -0.679207, -0.679207
0, 0, -0, 0, 0, 0
0.0353393, 0.0353393, 1.11022e-16, 0, 0.0353393, 0.0353393
6, 6, 6, 6, 0, 0
3.62352, 3.62352, 4, 4, -0.376476, -0.376476
3.64112, 3.64112, 4, 4, -0.35888, -0.35888
