T = 1.520000, n = 189568
T = 1.400000, n = 189652
T = 1.160000, n = 189557
T = 1.460000, n = 189562
T = 1.220000, n = 189592
T = 1.340000, n = 189577
T = 1.040000, n = 189590
T = 1.100000, n = 189573
T = 1.280000, n = 189549
T = 0.980000, n = 189550
T = 1.760000, n = 189941
T = 1.640000, n = 189894
T = 1.880000, n = 189909
T = 0.920000, n = 192891
T = 2.000000, n = 190002
T = 1.820000, n = 189897
T = 1.940000, n = 189931
T = 0.740000, n = 190766
T = 0.860000, n = 190746
T = 0.620000, n = 190733
T = 0.560000, n = 190768
T = 0.320000, n = 190765
T = 0.440000, n = 190746
T = 0.800000, n = 190723
T = 0.380000, n = 190753
T = 0.080000, n = 188459
T = 0.100000, n = 188446
T = 0.090000, n = 188466
T = 0.140000, n = 189003
T = 0.070000, n = 188468
T = 0.190000, n = 188988
T = 0.260000, n = 188955
T = 0.160000, n = 189023
T = 0.150000, n = 188993
T = 0.120000, n = 188975
T = 0.170000, n = 188957
T = 0.130000, n = 188939
T = 0.060000, n = 188479
T = 0.200000, n = 188937
T = 1.580000, n = 192814
T = 0.500000, n = 190761
T = 0.040000, n = 188445
T = 0.030000, n = 188449
T = 0.050000, n = 188463
T = 0.020000, n = 188496
T = 1.700000, n = 190304
T = 0.010000, n = 188461
T = 0.110000, n = 191515
T = 0.000000, n = 192815
T = 0.680000, n = 190761
T = 0.180000, n = 188968
