T = 0.762500, n = 74324
T = 1.287500, n = 74563
T = 0.725000, n = 74317
T = 1.250000, n = 74575
T = 1.212500, n = 74570
T = 1.512500, n = 74881
T = 0.837500, n = 74887
T = 0.650000, n = 74872
T = 1.325000, n = 74568
T = 1.475000, n = 74883
T = 0.612500, n = 74880
T = 0.575000, n = 74876
T = 1.362500, n = 74868
T = 1.400000, n = 74873
T = 1.437500, n = 74863
T = 0.537500, n = 74875
T = 0.800000, n = 74885
T = 0.500000, n = 74848
T = 1.662500, n = 73809
T = 0.875000, n = 74369
T = 0.987500, n = 74365
T = 0.687500, n = 74326
T = 1.175000, n = 74868
T = 1.062500, n = 74879
T = 1.025000, n = 74605
T = 1.550000, n = 74305
T = 1.587500, n = 74308
T = 0.950000, n = 74365
T = 1.775000, n = 73219
T = 1.737500, n = 73200
T = 1.100000, n = 74867
T = 0.912500, n = 74376
T = 1.137500, n = 74875
T = 1.625000, n = 73797
T = 1.700000, n = 73564
T = 1.925000, n = 74775
T = 1.962500, n = 74759
T = 1.812500, n = 74820
T = 1.850000, n = 74810
T = 2.000000, n = 74834
T = 1.887500, n = 74803
