T = 0.020000, n = 186362
T = 0.000000, n = 188985
T = 0.010000, n = 180659
T = 0.040000, n = 189749
T = 0.030000, n = 185971
T = 0.050000, n = 191492
T = 0.080000, n = 188715
T = 0.060000, n = 186937
T = 0.070000, n = 187662
T = 0.100000, n = 185549
T = 0.090000, n = 179778
T = 0.110000, n = 177961
T = 0.140000, n = 186297
T = 0.150000, n = 191195
T = 0.130000, n = 189775
T = 0.160000, n = 190847
T = 0.120000, n = 182467
T = 0.170000, n = 183874
T = 0.180000, n = 181792
T = 0.320000, n = 188717
T = 0.190000, n = 185995
T = 0.200000, n = 182807
T = 0.260000, n = 188420
T = 0.380000, n = 188660
T = 0.500000, n = 190152
T = 0.620000, n = 184192
T = 0.560000, n = 183808
T = 0.680000, n = 188791
T = 0.440000, n = 183757
T = 0.740000, n = 187547
T = 0.800000, n = 189375
T = 0.860000, n = 189397
T = 0.920000, n = 186472
T = 1.100000, n = 191301
T = 1.160000, n = 187471
T = 1.220000, n = 189097
T = 1.040000, n = 189352
T = 0.980000, n = 188574
T = 1.280000, n = 176360
T = 1.400000, n = 189284
T = 1.460000, n = 189270
T = 1.340000, n = 183292
T = 1.520000, n = 173591
T = 1.580000, n = 176942
T = 1.700000, n = 174083
T = 1.640000, n = 175773
T = 1.760000, n = 176652
T = 1.880000, n = 183893
T = 1.820000, n = 176437
T = 1.940000, n = 179902
T = 2.000000, n = 185101
