T = 0.620000, n = 192671
T = 0.050000, n = 192708
T = 0.010000, n = 191232
T = 0.020000, n = 191228
T = 1.040000, n = 188341
T = 1.280000, n = 188312
T = 1.340000, n = 188299
T = 0.500000, n = 186947
T = 0.000000, n = 191253
T = 0.380000, n = 186975
T = 1.160000, n = 188350
T = 0.560000, n = 186993
T = 1.100000, n = 188320
T = 0.320000, n = 187002
T = 0.100000, n = 190339
T = 0.440000, n = 186979
T = 0.040000, n = 191188
T = 0.150000, n = 190359
T = 0.190000, n = 187020
T = 0.130000, n = 190308
T = 1.220000, n = 188320
T = 0.060000, n = 190358
T = 0.180000, n = 186992
T = 0.110000, n = 190303
T = 0.200000, n = 187020
T = 0.120000, n = 190340
T = 0.140000, n = 190307
T = 0.080000, n = 190322
T = 0.170000, n = 187197
T = 0.160000, n = 192518
T = 0.090000, n = 190346
T = 0.800000, n = 182994
T = 0.030000, n = 191244
T = 0.740000, n = 182999
T = 0.680000, n = 182980
T = 0.980000, n = 182869
T = 2.000000, n = 190553
T = 0.260000, n = 186992
T = 1.940000, n = 187884
T = 1.820000, n = 187867
T = 1.880000, n = 188142
T = 1.700000, n = 187895
T = 0.070000, n = 190307
T = 1.760000, n = 187858
T = 0.920000, n = 182975
T = 0.860000, n = 182983
T = 1.460000, n = 187895
T = 1.640000, n = 187859
T = 1.520000, n = 187895
T = 1.580000, n = 187857
T = 1.400000, n = 187900
