T = 1.940000, n = 181180
T = 0.110000, n = 189973
T = 0.100000, n = 189979
T = 0.070000, n = 186517
T = 1.820000, n = 181208
T = 1.340000, n = 192502
T = 1.040000, n = 189649
T = 0.030000, n = 184885
T = 1.400000, n = 192477
T = 1.520000, n = 192738
T = 1.640000, n = 192742
T = 1.460000, n = 192487
T = 1.220000, n = 188109
T = 0.620000, n = 192813
T = 0.560000, n = 192799
T = 0.020000, n = 186742
T = 0.500000, n = 192788
T = 1.160000, n = 188153
T = 0.440000, n = 193024
T = 0.190000, n = 192597
T = 0.260000, n = 192582
T = 0.170000, n = 184889
T = 0.380000, n = 192580
T = 0.180000, n = 184931
T = 2.000000, n = 176411
T = 0.920000, n = 180529
T = 0.060000, n = 186499
T = 0.160000, n = 182786
T = 1.580000, n = 192700
T = 1.880000, n = 181193
T = 0.800000, n = 172334
T = 0.050000, n = 181002
T = 0.090000, n = 189979
T = 0.320000, n = 192578
T = 0.200000, n = 192614
T = 0.140000, n = 182763
T = 0.080000, n = 171214
T = 0.130000, n = 174307
T = 0.740000, n = 181581
T = 0.040000, n = 171600
T = 1.760000, n = 171452
T = 0.000000, n = 168471
T = 1.280000, n = 188103
T = 1.100000, n = 179693
T = 0.120000, n = 177769
T = 0.150000, n = 182785
T = 0.860000, n = 172335
T = 0.010000, n = 180297
T = 1.700000, n = 166666
T = 0.680000, n = 172635
T = 0.980000, n = 180540
