T = 1.400000, n = 181972
T = 1.437500, n = 182145
T = 1.662500, n = 181777
T = 1.812500, n = 181585
T = 1.850000, n = 181598
T = 1.625000, n = 181876
T = 1.587500, n = 181853
T = 1.250000, n = 181651
T = 2.000000, n = 181255
T = 1.962500, n = 181279
T = 1.775000, n = 181606
T = 1.325000, n = 181912
T = 1.737500, n = 181807
T = 1.700000, n = 181836
T = 1.362500, n = 181900
T = 1.887500, n = 181309
T = 1.925000, n = 181307
T = 1.175000, n = 181621
T = 0.875000, n = 182554
T = 1.212500, n = 181603
T = 0.837500, n = 182564
T = 0.912500, n = 182494
T = 0.800000, n = 181397
T = 0.725000, n = 181375
T = 1.287500, n = 181625
T = 1.550000, n = 181566
T = 1.137500, n = 181951
T = 0.762500, n = 181353
T = 1.512500, n = 181494
T = 0.650000, n = 181500
T = 1.100000, n = 181951
T = 0.537500, n = 181581
T = 1.475000, n = 181553
T = 0.687500, n = 182047
T = 0.575000, n = 181545
T = 0.950000, n = 181988
T = 1.025000, n = 182007
T = 0.612500, n = 181507
T = 0.987500, n = 181938
T = 1.062500, n = 181963
T = 0.500000, n = 189941
