T = 0.000000, n = 191095
T = 0.010000, n = 180664
T = 0.030000, n = 188251
T = 0.020000, n = 188531
T = 0.040000, n = 191515
T = 0.050000, n = 192704
T = 0.080000, n = 192679
T = 0.070000, n = 189738
T = 0.110000, n = 192438
T = 0.090000, n = 182714
T = 0.060000, n = 190761
T = 0.100000, n = 181298
T = 0.130000, n = 190342
T = 0.120000, n = 184421
T = 0.140000, n = 180570
T = 0.190000, n = 190635
T = 0.260000, n = 192402
T = 0.200000, n = 191057
T = 0.170000, n = 177989
T = 0.320000, n = 187202
T = 0.500000, n = 186703
T = 0.440000, n = 191454
T = 0.150000, n = 182248
T = 0.380000, n = 176995
T = 0.560000, n = 187124
T = 0.620000, n = 189425
T = 0.740000, n = 184250
T = 0.180000, n = 190645
T = 0.680000, n = 178380
T = 0.160000, n = 178256
T = 0.800000, n = 192423
T = 0.920000, n = 192349
T = 0.860000, n = 180698
T = 0.980000, n = 188709
T = 1.040000, n = 179682
T = 1.160000, n = 183804
T = 1.220000, n = 189409
T = 1.100000, n = 184920
T = 1.340000, n = 188799
T = 1.460000, n = 190697
T = 1.700000, n = 191812
T = 1.640000, n = 191861
T = 1.580000, n = 188668
T = 1.520000, n = 188600
T = 1.400000, n = 190714
T = 1.820000, n = 191862
T = 1.760000, n = 178048
T = 1.940000, n = 190236
T = 1.880000, n = 190221
T = 2.000000, n = 189455
T = 1.280000, n = 184699
