0, -nan, -nan, -nan
0.01, -nan, -nan, -nan
0.03, -nan, -nan, -nan
0.02, -nan, -nan, -nan
0.04, -nan, -nan, -nan
0.05, -nan, -nan, -nan
0.08, -nan, -nan, -nan
0.07, -nan, -nan, -nan
0.11, -nan, -nan, -nan
0.09, -nan, -nan, -nan
0.06, -nan, -nan, -nan
0.1, -nan, -nan, -nan
0.13, -nan, -nan, -nan
0.12, -nan, -nan, -nan
0.14, -nan, -nan, -nan
0.19, -nan, -nan, -nan
0.26, -nan, -nan, -nan
0.2, -nan, -nan, -nan
0.17, -nan, -nan, -nan
0.32, -nan, -nan, -nan
0.5, -nan, -nan, -nan
0.44, -nan, -nan, -nan
0.15, -nan, -nan, -nan
0.38, -nan, -nan, -nan
0.56, 0.0139185, 0.00028108, 1.96951e-07
0.62, 0.013432, 0.000236147, 1.19745e-07
0.74, 0.0118004, 0.000177805, 6.38567e-08
0.18, -nan, -nan, -nan
0.68, 0.0125875, 0.000203635, 8.58708e-08
0.16, -nan, -nan, -nan
0.8, 0.0111515, 0.000158471, 5.04473e-08
0.92, 0.0101162, 0.000130267, 3.38812e-08
0.86, 0.0105986, 0.000143186, 4.11487e-08
0.98, 0.00974119, 0.000121007, 2.93816e-08
1.04, 0.00942603, 0.000113171, 2.56315e-08
1.16, 0.00908216, 0.00010514, 2.22018e-08
1.22, 0.00898352, 0.000102808, 2.11585e-08
1.1, 0.00923255, 0.000108431, 2.34626e-08
1.34, 0.00887429, 0.000100185, 1.99958e-08
1.46, 0.00881561, 9.89765e-05, 1.95674e-08
1.7, 0.00875209, 9.75373e-05, 1.90063e-08
1.64, 0.00873403, 9.71853e-05, 1.89204e-08
1.58, 0.00875672, 9.76037e-05, 1.90126e-08
1.52, 0.0087742, 9.79402e-05, 1.91274e-08
1.4, 0.00883243, 9.92624e-05, 1.96789e-08
1.82, 0.00870924, 9.65806e-05, 1.86631e-08
1.76, 0.00875668, 9.75497e-05, 1.90376e-08
1.94, 0.00872714, 9.69463e-05, 1.87825e-08
1.88, 0.00871673, 9.68805e-05, 1.88713e-08
2, 0.0087026, 9.63907e-05, 1.8536e-08
1.28, 0.00893825, 0.000101715, 2.07088e-08
