T = 0.250000, n = 192714
T = 0.400000, n = 193009
T = 0.120000, n = 190807
T = 0.600000, n = 192473
T = 0.080000, n = 191784
T = 0.110000, n = 190810
T = 0.310000, n = 192651
T = 0.300000, n = 192628
T = 0.420000, n = 192432
T = 0.350000, n = 192515
T = 0.330000, n = 192547
T = 0.340000, n = 192560
T = 0.060000, n = 191786
T = 0.430000, n = 192406
T = 0.280000, n = 192183
T = 0.010000, n = 192951
T = 0.560000, n = 196141
T = 0.590000, n = 189584
T = 0.550000, n = 187627
T = 0.070000, n = 191807
T = 0.150000, n = 191926
T = 0.030000, n = 192128
T = 0.580000, n = 190417
T = 0.050000, n = 190755
T = 0.540000, n = 187601
T = 0.000000, n = 190930
T = 0.040000, n = 190750
T = 0.370000, n = 185174
T = 0.210000, n = 187844
T = 0.260000, n = 191763
T = 0.020000, n = 190495
T = 0.180000, n = 189281
T = 0.520000, n = 184795
T = 0.130000, n = 193273
T = 0.390000, n = 187384
T = 0.170000, n = 189343
T = 0.100000, n = 189479
T = 0.530000, n = 190842
T = 0.460000, n = 185057
T = 0.570000, n = 190399
T = 0.510000, n = 187817
T = 0.480000, n = 188178
T = 0.450000, n = 192978
T = 0.470000, n = 188132
T = 0.200000, n = 190640
T = 0.500000, n = 187971
T = 0.140000, n = 193327
T = 0.380000, n = 187445
T = 0.160000, n = 191917
T = 0.440000, n = 192045
T = 0.190000, n = 190639
T = 0.090000, n = 189476
T = 0.320000, n = 191702
T = 0.230000, n = 192669
T = 0.490000, n = 191338
T = 0.240000, n = 189251
T = 0.270000, n = 191811
T = 0.360000, n = 181883
T = 0.410000, n = 191363
T = 0.220000, n = 53525
T = 0.290000, n = 53516
