T = 1.850000, n = 567389
T = 1.812500, n = 567288
T = 1.775000, n = 568640
T = 1.737500, n = 568714
T = 2.000000, n = 558748
T = 1.962500, n = 558517
T = 0.987500, n = 568136
T = 1.175000, n = 601710
T = 1.925000, n = 558464
T = 0.950000, n = 568093
T = 1.250000, n = 590707
T = 1.287500, n = 590600
T = 1.587500, n = 581450
T = 1.550000, n = 601291
T = 0.912500, n = 568536
T = 1.887500, n = 550539
T = 0.537500, n = 596224
T = 1.475000, n = 601160
T = 1.512500, n = 601042
T = 1.700000, n = 572582
T = 0.837500, n = 590378
T = 0.612500, n = 537939
T = 0.725000, n = 539897
T = 1.137500, n = 601922
T = 1.437500, n = 538814
T = 1.025000, n = 585626
T = 1.100000, n = 569996
T = 0.575000, n = 553160
T = 1.625000, n = 581659
T = 1.212500, n = 590766
T = 1.362500, n = 549633
T = 1.062500, n = 580823
T = 1.325000, n = 597855
T = 0.650000, n = 546631
T = 1.662500, n = 572197
T = 0.762500, n = 539910
T = 0.875000, n = 590747
T = 0.800000, n = 570064
T = 0.500000, n = 539197
T = 0.687500, n = 569401
T = 1.400000, n = 538739
