1	-32904.7
2	-33082.2
3	-31327.6
4	-29813.4
5	-28613.4
6	-27656.7
10	-25233.1
12	-24483.8
15	-23655
20	-22726.3
30	-21663.1
60	-20392.4
120	-18572.4
Ground State: h = 2
